Abrev. 	quere dizer abreviatura.
a. C. 	quere dizer antes do Chrísto.
Açor. 	quere dizer termo açoreano.
Adj. 	quere dizer adjectivo.
Adj. f. 	quere dizer adjectivo feminino.
Adv. 	quere dizer adverbio.
Afr. 	quere dizer africano.
Agr. 	quere dizer termo de Agricultura.
al. 	quere dizer alemão.
alat. 	quere dizer alatinado.
alt. al. 	quere dizer alto alemão.
alter. 	quere dizer alteração.
Anat. 	quere dizer termo de Anatomia.
Angl. 	quere dizer Anglicismo.
angl. sax. 	quere dizer anglo saxão.
Ant. 	quere dizer termo antigo.
ant. alt. al. 	quere dizer antigo alto alemão.
Anthrop. 	quere dizer Anthropologia.
apher. 	quere dizer aphérese.
ár. 	quere dizer árabe.
Arith. 	quere dizer termo de Arithmética.
art. def. 	quere dizer artigo definido.
Artilh. 	quere dizer termo de Artilharia.
as. 	quere dizer termo asiático.
Arm. 	quere dizer termo de Armaria.
Astrol. 	quere dizer termo de Astrologia.
aum. 	quere dizer aumentativo.
Bacter. 	quere dizer termo de Bacteriologia.
berb. 	quere dizer berbere.
Bibl. Nac. 	quere dizer Bibliotheca Nacional.
Biol. 	quere dizer termo de Biologia.
b. lat. 	quere dizer baixo latim.
borg. 	quere dizer borgonhês.
Bot. 	quere dizer termo de Botânica.
Bras. 	quere dizer termo brasileiro.
bret. 	quere dizer bretão.
Burl. 	quere dizer termo burlesco.
Caboverd. 	quere dizer termo caboverdeano.
car. 	quere dizer caraíba.
Carp. 	quere dizer termo de Carpintaria.
carth. 	quere dizer carthaginês.
cast. 	quere dizer castelhano.
celt. 	quere dizer céltico.
Cf. 	quere dizer confira.
chancell. 	quere dizer chancellaria.
Chapel. 	quere dizer termo de Chapelaria.
chil. 	quere dizer chileno.
chin. 	quere dizer chinês.
Chul. 	quere dizer termo chulo.
Chron. 	quere dizer termo de Chronologia.
Cir. 	quere dizer termo de Cirurgia.
cit. 	quere dizer citado.
comp. 	quere dizer comparativo.
conc. 	quere dizer concani.
cong. 	quere dizer conguês.
conj. 	quere dizer conjuncção.
Constr. 	quere dizer termo de construcção.
contr. 	quere dizer contracção.
corr. 	quere dizer corruptela.
Cp. 	quere dizer compare.
Cutel. 	quere dizer termo de Cutelaria.
Cyn. 	quere dizer termo de Cynegética.
def. 	quere dizer defectivo.
defin. 	quere dizer definido.
dem. 	quere dizer deminutivo.
demonstr. 	quere dizer demonstrativo.
der. 	quere dizer derivado; derivação.
des. 	quere dizer desusado.
deprec. 	quere dizer depreciativo.
diccion. 	quere dizer diccionário; diccionarista,
din. 	quere dizer dinamarquês.
doc. 	quere dizer documento.
eccles. 	quere dizer ecclesiastico.
Econ. polít. 	quere dizer termo de Economia Política.
ed. 	quere dizer edição.
egýp. 	quere dizer egýpcio.
Enol. 	quere dizer termo de Enologia.
Entom. 	quere dizer termo de Entomologia.
Equit. 	quere dizer termo de Equitação.
escand. 	quere dizer escandinavo.
escoc. 	quere dizer escocês.
Escol. 	quere dizer termo escolar.
Espir. 	quere dizer termo de espiritismo.
etym. 	quere dizer etymologia.
ex. 	quere dizer exemplo.
ext. 	quere dizer em sentido extensivo.
